Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
37,30,1/7/16,37-137,LAL,@,SAC,L (-3),1,30:56:00,10,19,0.526,2,6,0.333,6,8,0.75,1,1,2,3,0,1,3,2,28,17.9,-14,36.5
38,31,1/8/16,37-138,LAL,,OKC,L (-4),1,28:28:00,8,20,0.4,1,5,0.2,2,2,1,2,2,4,6,1,0,2,3,19,12.2,-14,34.5
39,,1/10/16,37-140,LAL,,UTA,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,32,1/12/16,37-142,LAL,,NOP,W (+4),1,15:44,3,9,0.333,0,5,0,1,2,0.5,0,3,3,1,1,0,1,2,7,2.3,-6,13.8
41,33,1/14/16,37-144,LAL,@,GSW,L (-18),1,27:28:00,4,15,0.267,0,4,0,0,0,,2,4,6,3,2,1,2,2,8,3.7,-11,25
42,34,1/16/16,37-146,LAL,@,UTA,L (-27),1,14:40,2,8,0.25,0,3,0,1,1,1,1,0,1,2,0,0,0,0,5,2.3,-15,9.3
43,35,1/17/16,37-147,LAL,,HOU,L (-17),1,24:00:00,2,5,0.4,1,2,0.5,0,0,,0,2,2,9,1,0,4,0,5,6.2,-12,21.5
44,36,1/20/16,37-150,LAL,,SAC,L (-19),1,31:12:00,4,13,0.308,2,7,0.286,5,5,1,2,2,4,3,1,0,2,4,15,9,-13,26.5
45,37,1/22/16,37-152,LAL,,SAS,L (-13),1,26:34:00,2,9,0.222,1,4,0.25,0,0,,1,1,2,6,0,1,3,2,5,1.6,-15,17.5
46,38,1/23/16,37-153,LAL,@,POR,L (-18),1,24:33:00,5,9,0.556,0,1,0,0,0,,0,2,2,1,0,0,5,1,10,1.6,-17,11.5
47,,1/26/16,37-156,LAL,,DAL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,39,1/28/16,37-158,LAL,,CHI,L (-23),1,25:05:00,4,13,0.308,2,7,0.286,0,0,,0,4,4,3,2,0,2,2,10,5,-9,23.5
49,,1/29/16,37-159,LAL,,LAC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,40,1/31/16,37-161,LAL,,CHO,L (-19),1,22:58,8,18,0.444,4,8,0.5,3,3,1,1,7,8,3,2,0,0,1,23,20.1,1,43.5
51,41,2/2/16,37-163,LAL,,MIN,W (+4),1,33:01:00,10,21,0.476,7,11,0.636,11,12,0.917,2,3,5,5,2,0,2,3,38,31.5,6,58.3
52,42,2/4/16,37-165,LAL,@,NOP,W (+3),1,32:07:00,10,24,0.417,4,11,0.364,3,4,0.75,3,9,12,2,2,0,1,0,27,21,16,52
53,43,2/6/16,37-167,LAL,@,SAS,L (-4),1,32:53:00,9,28,0.321,4,14,0.286,3,3,1,1,1,2,4,0,1,2,4,25,9.9,-2,36.5
54,44,2/8/16,37-169,LAL,@,IND,L (-2),1,33:23:00,6,25,0.24,4,14,0.286,3,4,0.75,1,4,5,0,0,0,0,0,19,5.4,-6,27.3
55,45,2/10/16,37-171,LAL,@,CLE,L (-9),1,33:05:00,5,16,0.313,3,7,0.429,4,4,1,0,6,6,3,1,0,3,2,17,8.9,-18,31
