Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,30,12/28/09,31-127,LAL,@,PHO,L (-15),1,36:10:00,14,26,0.538,1,5,0.2,5,6,0.833,0,7,7,2,0,0,1,0,34,23.5,-7
0,31,12/29/09,31-128,LAL,,GSW,W (+6),1,42:52:00,13,27,0.481,2,6,0.333,16,16,1,1,3,4,11,1,0,1,2,44,38.8,7
0,32,1/1/10,31-131,LAL,,SAC,W (+1),1,47:15:00,13,27,0.481,5,7,0.714,8,11,0.727,0,5,5,5,1,0,3,3,39,25.9,1
0,33,1/3/10,31-133,LAL,,DAL,W (+35),1,32:04:00,6,12,0.5,1,4,0.25,2,2,1,0,3,3,8,0,1,4,2,15,11.4,39
0,34,1/5/10,31-135,LAL,,HOU,W (+9),1,42:55:00,9,23,0.391,1,1,1,3,4,0.75,0,3,3,3,1,1,4,4,22,8.2,14
0,35,1/6/10,31-136,LAL,@,LAC,L (-11),1,40:21:00,10,30,0.333,2,7,0.286,11,15,0.733,1,2,3,8,3,0,2,0,33,22.3,-15
0,36,1/8/10,31-138,LAL,@,POR,L (-9),1,40:33:00,14,37,0.378,2,8,0.25,2,4,0.5,3,4,7,7,0,1,5,4,32,13.2,-5
0,37,1/10/10,31-140,LAL,,MIL,W (+18),1,28:30:00,4,21,0.19,0,3,0,4,6,0.667,2,3,5,1,2,0,1,4,12,0.5,14
0,38,1/12/10,31-142,LAL,@,SAS,L (-20),1,32:18:00,7,10,0.7,1,1,1,1,1,1,0,1,1,3,0,0,3,0,16,11.2,-6
0,39,1/13/10,31-143,LAL,@,DAL,W (+5),1,35:00:00,5,11,0.455,0,2,0,0,0,,0,2,2,1,1,0,0,2,10,5.8,4
0,40,1/15/10,31-145,LAL,,LAC,W (+40),1,37:11:00,10,20,0.5,4,7,0.571,6,8,0.75,0,2,2,3,1,0,1,2,30,21.1,41
0,41,1/18/10,31-148,LAL,,ORL,W (+6),1,44:24:00,4,19,0.211,0,3,0,3,4,0.75,0,5,5,7,0,0,2,2,11,2.5,-3
0,42,1/21/10,31-151,LAL,@,CLE,L (-6),1,39:57:00,12,31,0.387,2,6,0.333,5,8,0.625,1,1,2,4,0,0,3,2,31,12.9,-8
0,43,1/22/10,31-152,LAL,@,NYK,W (+10),1,42:06:00,8,24,0.333,3,9,0.333,8,8,1,0,5,5,6,1,0,3,4,27,15.5,8
0,44,1/24/10,31-154,LAL,@,TOR,L (-1),1,40:04:00,11,24,0.458,1,6,0.167,4,4,1,3,13,16,9,1,1,4,1,27,24.2,0
0,45,1/26/10,31-156,LAL,@,WAS,W (+12),1,37:16:00,8,15,0.533,2,7,0.286,8,9,0.889,0,4,4,8,1,0,6,2,26,19.3,13
0,46,1/27/10,31-157,LAL,@,IND,W (+22),1,34:57:00,10,15,0.667,3,4,0.75,6,8,0.75,2,7,9,7,1,1,1,1,29,30.4,15
0,47,1/29/10,31-159,LAL,@,PHI,W (+8),1,39:50:00,10,22,0.455,0,4,0,4,6,0.667,1,3,4,3,4,2,3,3,24,16.7,4
0,48,1/31/10,31-161,LAL,@,BOS,W (+1),1,44:58:00,8,20,0.4,1,3,0.333,2,4,0.5,0,3,3,6,0,0,4,1,19,8.1,6
0,49,2/1/10,31-162,LAL,@,MEM,L (-2),1,40:10:00,16,28,0.571,4,7,0.571,8,13,0.615,0,3,3,3,0,0,3,1,44,28.4,5
0,50,2/3/10,31-164,LAL,,CHA,W (+2),1,36:51:00,2,12,0.167,1,5,0.2,0,2,0,0,2,2,6,2,0,0,4,5,1.8,1
0,51,2/5/10,31-166,LAL,,DEN,L (-13),1,39:16:00,11,22,0.5,4,8,0.5,7,8,0.875,0,9,9,0,1,0,5,4,33,18.7,4
0,52,2/23/10,31-184,LAL,@,MEM,W (+1),1,40:01:00,13,19,0.684,3,4,0.75,3,3,1,0,7,7,6,3,2,2,2,32,31.8,3
0,53,2/24/10,31-185,LAL,@,DAL,L (-5),1,39:42:00,9,23,0.391,0,3,0,2,2,1,1,4,5,2,2,0,2,4,20,9.2,-3
0,54,2/26/10,31-187,LAL,,PHI,W (+9),1,42:14:00,7,16,0.438,0,1,0,5,6,0.833,1,3,4,8,2,0,3,2,19,15.6,9
0,55,2/28/10,31-189,LAL,,DEN,W (+6),1,42:58:00,3,17,0.176,0,2,0,8,8,1,1,4,5,12,3,2,5,1,14,12.6,11
0,56,3/2/10,31-191,LAL,,IND,W (+23),1,30:27:00,5,14,0.357,0,4,0,14,15,0.933,0,4,4,6,2,0,3,1,24,19.8,18
0,57,3/4/10,31-193,LAL,@,MIA,L (-3),1,45:46:00,15,28,0.536,2,7,0.286,7,10,0.7,0,2,2,4,1,1,2,3,39,26.1,3
0,58,3/5/10,31-194,LAL,@,CHA,L (-15),1,41:55:00,9,21,0.429,0,4,0,8,9,0.889,2,3,5,2,0,0,3,4,26,13.6,-14
0,59,3/7/10,31-196,LAL,@,ORL,L (-2),1,40:17:00,12,30,0.4,2,5,0.4,8,8,1,2,5,7,7,3,0,1,3,34,26.4,-2
0,60,3/9/10,31-198,LAL,,TOR,W (+2),1,37:20:00,11,20,0.55,0,1,0,10,11,0.909,1,5,6,6,1,0,4,4,32,23.8,3
0,61,3/12/10,31-201,LAL,@,PHO,W (+6),1,42:20:00,7,16,0.438,1,5,0.2,6,9,0.667,1,9,10,8,1,0,7,2,21,13.6,15
0,62,3/15/10,31-204,LAL,@,GSW,W (+3),1,39:54:00,9,18,0.5,2,4,0.5,9,11,0.818,1,2,3,4,2,0,9,2,29,15.5,8
0,63,3/16/10,31-205,LAL,@,SAC,W (+7),1,41:18:00,10,26,0.385,2,5,0.4,8,14,0.571,3,6,9,7,0,0,3,2,30,18.4,15
0,64,3/19/10,31-208,LAL,,MIN,W (+8),1,33:53:00,4,11,0.364,1,5,0.2,13,14,0.929,0,4,4,13,4,0,5,3,22,23.6,9
0,65,3/21/10,31-210,LAL,,WAS,W (+7),1,39:47:00,10,17,0.588,4,7,0.571,0,0,,0,3,3,4,0,0,3,2,24,16,16
0,66,3/24/10,31-213,LAL,@,SAS,W (+9),1,42:07:00,11,16,0.688,2,2,1,0,0,,1,3,4,6,0,0,3,1,24,19.6,-3
0,67,3/26/10,31-215,LAL,@,OKC,L (-16),1,30:01:00,4,11,0.364,0,2,0,3,3,1,1,5,6,3,1,0,9,4,11,-0.4,-22
0,68,3/27/10,31-216,LAL,@,HOU,W (+8),1,36:10:00,7,14,0.5,1,2,0.5,2,3,0.667,1,8,9,9,1,0,5,2,17,14.2,17
0,69,3/29/10,31-218,LAL,@,NOH,L (-8),1,41:27:00,10,18,0.556,2,5,0.4,9,11,0.818,2,3,5,6,1,0,3,5,31,24.1,-9
0,70,3/31/10,31-220,LAL,@,ATL,L (-17),1,41:38:00,12,21,0.571,2,3,0.667,2,6,0.333,0,3,3,4,0,0,2,2,28,17.4,-15
0,71,4/2/10,31-222,LAL,,UTA,W (+14),1,36:57:00,5,23,0.217,0,4,0,15,18,0.833,3,3,6,3,1,0,2,5,25,11.8,20
0,72,4/4/10,31-224,LAL,,SAS,L (-19),1,41:13:00,8,24,0.333,2,6,0.333,4,6,0.667,3,5,8,6,0,0,4,3,22,10.2,-17
0,73,4/11/10,31-231,LAL,,POR,L (-3),1,40:07:00,8,23,0.348,3,6,0.5,1,3,0.333,0,4,4,2,0,0,1,1,20,7.5,-3
1,74,4/18/10,31-238,LAL,,OKC,W (+8),1,41:00:00,6,19,0.316,2,5,0.4,7,12,0.583,1,1,2,3,2,1,2,5,21,9.9,9
1,75,4/20/10,31-240,LAL,,OKC,W (+3),1,40:55:00,12,28,0.429,2,5,0.4,13,15,0.867,1,4,5,1,2,0,4,4,39,22.4,-2
1,76,4/22/10,31-242,LAL,@,OKC,L (-5),1,41:22:00,10,29,0.345,4,11,0.364,0,0,,0,4,4,8,2,0,3,4,24,11.9,1
1,77,4/24/10,31-244,LAL,@,OKC,L (-21),1,32:04:00,5,10,0.5,1,1,1,1,2,0.5,1,2,3,4,0,0,3,3,12,6.5,-14
1,78,4/27/10,31-247,LAL,,OKC,W (+24),1,29:17:00,4,9,0.444,0,2,0,5,7,0.714,0,3,3,7,2,0,4,3,13,10.1,27
1,79,4/30/10,31-250,LAL,@,OKC,W (+1),1,35:57:00,12,25,0.48,3,4,0.75,5,7,0.714,1,6,7,3,0,0,5,4,32,16.5,1
1,80,5/2/10,31-252,LAL,,UTA,W (+5),1,36:36:00,12,19,0.632,0,2,0,7,7,1,0,3,3,4,0,0,4,3,31,21,8
1,81,5/4/10,31-254,LAL,,UTA,W (+8),1,42:07:00,10,22,0.455,0,1,0,10,11,0.909,0,5,5,8,1,3,7,3,30,20.2,5
1,82,5/8/10,31-258,LAL,@,UTA,W (+1),1,43:27:00,13,24,0.542,3,7,0.429,6,8,0.75,0,4,4,7,1,0,2,3,35,26.5,1
1,83,5/10/10,31-260,LAL,@,UTA,W (+15),1,42:09:00,11,23,0.478,0,2,0,10,12,0.833,0,3,3,4,1,0,3,3,32,20,9
1,84,5/17/10,31-267,LAL,,PHO,W (+21),1,35:28:00,13,23,0.565,3,6,0.5,11,12,0.917,0,5,5,5,1,0,2,1,40,32.3,22
1,85,5/19/10,31-269,LAL,,PHO,W (+12),1,43:02:00,8,19,0.421,1,3,0.333,4,4,1,2,3,5,13,0,1,2,2,21,20.2,14
1,86,5/23/10,31-273,LAL,@,PHO,L (-9),1,42:41:00,13,24,0.542,2,8,0.25,8,8,1,2,7,9,11,1,1,5,3,36,31.1,-12
1,87,5/25/10,31-275,LAL,@,PHO,L (-9),1,44:42:00,15,22,0.682,6,9,0.667,2,4,0.5,1,6,7,10,1,1,2,3,38,35.8,-4
1,88,5/27/10,31-277,LAL,,PHO,W (+2),1,42:37:00,12,27,0.444,4,10,0.4,2,3,0.667,3,8,11,9,0,4,2,3,30,25.9,4
1,89,5/29/10,31-279,LAL,@,PHO,W (+8),1,40:58:00,12,25,0.48,3,8,0.375,10,11,0.909,2,4,6,2,2,0,2,1,37,27.5,19
1,90,6/3/10,31-284,LAL,,BOS,W (+13),1,38:45:00,10,22,0.455,1,2,0.5,9,10,0.9,1,6,7,6,1,1,4,4,30,21,8
1,91,6/6/10,31-287,LAL,,BOS,L (-9),1,34:18:00,8,20,0.4,2,7,0.286,3,3,1,0,5,5,6,4,0,5,5,21,12.9,-9
1,92,6/8/10,31-289,LAL,@,BOS,W (+7),1,43:52:00,10,29,0.345,1,7,0.143,8,8,1,2,5,7,4,2,3,1,2,29,20.7,10
1,93,6/10/10,31-291,LAL,@,BOS,L (-7),1,43:04:00,10,22,0.455,6,11,0.545,7,8,0.875,0,6,6,2,2,0,7,5,33,17.4,-8
1,94,6/13/10,31-294,LAL,@,BOS,L (-6),1,43:53:00,13,27,0.481,4,10,0.4,8,9,0.889,2,3,5,4,1,1,4,5,38,24.7,-6
1,95,6/15/10,31-296,LAL,,BOS,W (+22),1,39:37:00,9,19,0.474,1,4,0.25,7,7,1,3,8,11,3,4,0,2,2,26,24.1,15
1,96,6/17/10,31-298,LAL,,BOS,W (+4),1,44:51:00,6,24,0.25,0,6,0,11,15,0.733,4,11,15,2,1,0,4,4,23,9.9,0
