Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,2/5/99,20-166,LAL,,HOU,W (+8),1,44:00:00,8,21,0.381,2,3,0.667,7,9,0.778,2,8,10,2,2,3,2,4,25,18.4
0,2,2/7/99,20-168,LAL,,UTA,L (-9),1,41:00:00,7,12,0.583,0,1,0,2,2,1,2,10,12,3,0,2,5,6,16,10.9
0,3,2/8/99,20-169,LAL,@,SAS,W (+5),1,41:00:00,8,19,0.421,1,4,0.25,2,2,1,2,8,10,2,2,2,4,5,19,11.5
0,4,2/10/99,20-171,LAL,@,DEN,W (+5),1,38:00:00,8,15,0.533,1,2,0.5,4,5,0.8,1,9,10,5,1,0,3,5,21,16.2
0,5,2/11/99,20-172,LAL,@,MIN,L (-11),1,38:00:00,8,21,0.381,0,3,0,8,9,0.889,2,8,10,2,2,1,1,1,24,18.6
0,6,2/14/99,20-175,LAL,,IND,L (-2),1,35:00:00,6,12,0.5,1,4,0.25,5,6,0.833,0,2,2,0,2,2,3,5,18,10.6
0,7,2/16/99,20-177,LAL,,CHH,W (+28),1,31:00:00,8,14,0.571,0,1,0,0,0,,0,9,9,5,2,2,4,1,16,14.6
0,8,2/17/99,20-178,LAL,,DAL,W (+13),1,31:00:00,8,15,0.533,0,0,,7,8,0.875,1,8,9,4,1,0,3,2,23,18.4
0,9,2/19/99,20-180,LAL,,SAS,W (+12),1,42:00:00,9,19,0.474,0,0,,3,4,0.75,1,7,8,6,1,1,3,5,21,14.6
0,10,2/21/99,20-182,LAL,@,SEA,L (-3),1,40:00:00,8,20,0.4,1,6,0.167,6,6,1,4,9,13,2,1,0,4,5,23,14.1
0,11,2/22/99,20-183,LAL,@,DEN,L (-4),1,46:00:00,8,15,0.533,1,3,0.333,9,11,0.818,1,12,13,9,1,0,4,4,26,23.9
0,12,2/23/99,20-184,LAL,@,VAN,L (-10),1,35:00:00,5,21,0.238,0,6,0,1,3,0.333,2,3,5,2,0,0,5,5,11,-5.8
0,13,2/25/99,20-186,LAL,@,LAC,W (+15),1,25:00:00,2,6,0.333,0,1,0,3,4,0.75,1,5,6,2,1,0,2,1,7,5.4
0,14,2/26/99,20-187,LAL,,LAC,W (+16),1,34:00:00,7,10,0.7,0,0,,8,10,0.8,0,4,4,0,1,2,6,6,22,12.2
0,15,2/28/99,20-189,LAL,,HOU,W (+16),1,40:00:00,8,20,0.4,0,2,0,2,2,1,0,5,5,3,1,1,4,2,18,7.7
0,16,3/1/99,20-190,LAL,@,PHO,W (+6),1,27:00:00,3,11,0.273,0,1,0,4,5,0.8,1,3,4,2,1,1,3,5,10,2.8
0,17,3/3/99,20-192,LAL,,PHO,W (+6),1,42:00:00,11,19,0.579,0,0,,10,12,0.833,0,5,5,5,2,4,4,0,32,28.1
0,18,3/5/99,20-194,LAL,,SEA,W (+3),1,43:00:00,8,15,0.533,0,0,,4,4,1,2,3,5,2,1,1,2,2,20,15.3
0,19,3/7/99,20-196,LAL,@,UTA,W (+8),1,38:00:00,7,16,0.438,0,2,0,10,13,0.769,2,2,4,1,0,1,5,5,24,10.8
0,20,3/9/99,20-198,LAL,@,LAC,W (+4),1,28:00:00,4,7,0.571,0,0,,8,10,0.8,1,1,2,5,2,0,4,4,16,12.8
0,21,3/10/99,20-199,LAL,,LAC,W (+19),1,28:00:00,4,14,0.286,0,0,,1,2,0.5,2,2,4,4,0,0,3,3,9,1
0,22,3/12/99,20-201,LAL,,GSW,W (+11),1,42:00:00,7,13,0.538,0,0,,4,4,1,0,4,4,3,5,1,2,3,18,17.5
0,23,3/14/99,20-203,LAL,@,SAC,L (-4),1,43:00:00,11,19,0.579,1,6,0.167,6,6,1,2,8,10,4,2,0,6,1,29,22.3
0,24,3/16/99,20-205,LAL,@,MIN,W (+6),1,39:00:00,6,12,0.5,1,2,0.5,8,10,0.8,2,7,9,3,0,0,0,3,21,18.6
0,25,3/18/99,20-207,LAL,@,CLE,L (-7),1,37:00:00,4,12,0.333,0,1,0,6,6,1,1,3,4,5,0,0,2,5,14,8.3
0,26,3/19/99,20-208,LAL,@,PHI,L (-15),1,40:00:00,9,16,0.563,1,4,0.25,4,4,1,0,2,2,2,1,1,5,1,23,13.7
0,27,3/21/99,20-210,LAL,@,ORL,W (+11),1,45:00:00,15,24,0.625,2,2,1,6,7,0.857,0,3,3,4,2,1,4,3,38,28
0,28,3/22/99,20-211,LAL,@,DAL,W (+3),1,37:00:00,8,17,0.471,0,0,,5,5,1,0,2,2,2,2,1,1,0,21,16
0,29,3/24/99,20-213,LAL,,PHO,L (-5),1,39:00:00,10,22,0.455,0,3,0,5,7,0.714,1,2,3,2,1,2,5,3,25,11.7
0,30,3/26/99,20-215,LAL,,SAC,L (-2),1,40:00:00,10,17,0.588,1,1,1,5,6,0.833,0,0,0,6,2,3,2,0,26,24
0,31,3/28/99,20-217,LAL,,NYK,W (+8),1,39:00:00,11,20,0.55,0,0,,7,8,0.875,0,5,5,3,5,1,2,3,29,25.1
0,32,3/29/99,20-218,LAL,,VAN,W (+18),1,34:00:00,7,17,0.412,0,1,0,6,6,1,3,0,3,3,3,3,2,2,20,17.4
