Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,33,4/2/99,20-222,LAL,@,PHO,W (+1),1,41:00:00,7,20,0.35,0,0,,4,4,1,0,3,3,4,2,2,4,3,18,8.7
0,34,4/3/99,20-223,LAL,,GSW,L (-5),1,39:00:00,5,15,0.333,0,1,0,7,9,0.778,1,1,2,2,1,0,2,2,17,8.3
0,35,4/5/99,20-225,LAL,,DEN,W (+13),1,37:00:00,8,12,0.667,4,4,1,6,7,0.857,1,1,2,3,0,0,0,1,26,23.1
0,36,4/6/99,20-226,LAL,,UTA,L (-13),1,35:00:00,6,14,0.429,0,2,0,3,4,0.75,2,0,2,3,0,1,1,3,15,9.2
0,37,4/7/99,20-227,LAL,@,SAC,W (+15),1,42:00:00,7,18,0.389,0,1,0,4,4,1,0,2,2,7,6,0,8,4,18,10.1
0,38,4/9/99,20-229,LAL,,MIN,W (+7),1,37:00:00,7,14,0.5,1,3,0.333,3,4,0.75,2,1,3,7,1,0,1,2,18,16.4
0,39,4/11/99,20-231,LAL,,SEA,L (-4),1,44:00:00,8,21,0.381,0,4,0,9,10,0.9,2,3,5,9,1,0,0,6,25,20.3
0,40,4/13/99,20-233,LAL,@,POR,L (-27),1,39:00:00,7,19,0.368,0,2,0,6,7,0.857,0,0,0,2,0,0,2,1,20,8.1
0,41,4/17/99,20-237,LAL,@,UTA,L (-16),1,42:00:00,6,16,0.375,2,4,0.5,3,5,0.6,0,5,5,5,0,0,4,2,17,7.6
0,42,4/19/99,20-239,LAL,,VAN,W (+15),1,36:00:00,6,11,0.545,0,3,0,5,6,0.833,0,4,4,8,1,0,1,4,17,16.5
0,43,4/20/99,20-240,LAL,@,GSW,W (+4),1,40:00:00,10,17,0.588,3,4,0.75,4,5,0.8,3,2,5,5,1,3,5,3,27,21.8
0,44,4/21/99,20-241,LAL,@,POR,L (-6),1,45:00:00,7,15,0.467,2,5,0.4,6,7,0.857,2,4,6,4,2,1,6,4,22,14.4
0,45,4/24/99,20-244,LAL,@,SAS,L (-27),1,38:00:00,5,14,0.357,0,2,0,1,2,0.5,0,4,4,4,2,1,2,3,11,6.3
0,46,4/26/99,20-246,LAL,@,HOU,L (-22),1,35:00:00,3,14,0.214,1,3,0.333,2,2,1,1,4,5,2,1,0,1,2,9,2.9
0,47,4/29/99,20-249,LAL,,POR,W (+19),1,38:00:00,5,11,0.455,0,2,0,5,6,0.833,0,6,6,7,2,2,6,2,15,12.2
0,48,5/2/99,20-252,LAL,@,SEA,W (+7),1,44:00:00,12,20,0.6,1,2,0.5,3,4,0.75,2,4,6,4,2,3,3,5,28,22.9
0,49,5/3/99,20-253,LAL,,DAL,W (+13),1,40:00:00,6,12,0.5,0,0,,5,5,1,0,4,4,10,3,1,5,4,17,16.3
0,50,5/5/99,20-255,LAL,,POR,W (+28),1,22:00,4,5,0.8,0,0,,3,5,0.6,1,4,5,1,0,0,1,2,11,9.1
1,51,5/9/99,20-259,LAL,,HOU,W (+1),1,28:00:00,5,9,0.556,1,1,1,6,6,1,0,5,5,5,0,1,2,4,17,14.8
1,52,5/11/99,20-261,LAL,,HOU,W (+12),1,38:00:00,8,15,0.533,1,3,0.333,2,2,1,2,7,9,5,3,1,4,1,19,18
1,53,5/13/99,20-263,LAL,@,HOU,L (-14),1,35:00:00,5,17,0.294,1,4,0.25,2,2,1,4,5,9,5,2,4,3,3,13,11.5
1,54,5/15/99,20-265,LAL,@,HOU,W (+10),1,47:00:00,9,25,0.36,1,3,0.333,5,6,0.833,1,5,6,8,3,2,3,1,24,18.5
1,55,5/17/99,20-267,LAL,@,SAS,L (-6),1,36:00:00,8,17,0.471,0,1,0,5,6,0.833,2,4,6,6,3,1,7,2,21,14.6
1,56,5/19/99,20-269,LAL,@,SAS,L (-3),1,47:00:00,12,25,0.48,1,3,0.333,3,5,0.6,1,7,8,4,0,0,5,3,28,13.9
1,57,5/22/99,20-272,LAL,,SAS,L (-12),1,44:00:00,7,18,0.389,2,5,0.4,4,6,0.667,0,4,4,1,4,1,4,4,20,10.4
1,58,5/23/99,20-273,LAL,,SAS,L (-11),1,40:00:00,7,16,0.438,1,3,0.333,1,2,0.5,3,5,8,3,0,0,3,6,16,7.5
