Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,10/28/14,36-066,LAL,,HOU,L (-18),1,29:00:00,6,17,0.353,0,1,0,7,8,0.875,0,3,3,2,1,0,1,5,19,9.4,-11
0,2,10/29/14,36-067,LAL,@,PHO,L (-20),1,27:53:00,11,25,0.44,2,4,0.5,7,7,1,1,3,4,3,2,0,2,2,31,20.8,-26
0,3,10/31/14,36-069,LAL,,LAC,L (-7),1,35:16:00,6,15,0.4,1,5,0.2,8,11,0.727,0,4,4,7,2,0,3,5,21,14.8,-9
0,4,11/1/14,36-070,LAL,@,GSW,L (-23),1,35:53:00,12,28,0.429,1,6,0.167,3,6,0.5,1,5,6,1,2,0,7,3,28,8.7,-30
0,5,11/4/14,36-073,LAL,,PHO,L (-6),1,44:15:00,14,37,0.378,3,7,0.429,8,12,0.667,3,6,9,1,1,1,3,0,39,20.4,-5
0,6,11/9/14,36-078,LAL,,CHO,W (+15),1,34:17:00,7,20,0.35,1,5,0.2,6,7,0.857,0,6,6,4,1,0,4,1,21,10.6,7
0,7,11/11/14,36-080,LAL,@,MEM,L (-5),1,37:29:00,10,26,0.385,3,10,0.3,5,6,0.833,1,6,7,6,4,0,3,3,28,19.9,8
0,8,11/12/14,36-081,LAL,@,NOP,L (-7),1,36:12:00,10,28,0.357,5,11,0.455,8,8,1,0,4,4,5,1,0,1,1,33,21.7,-15
0,9,11/14/14,36-083,LAL,,SAS,L (-13),1,36:25:00,1,14,0.071,0,5,0,7,9,0.778,0,4,4,6,1,2,4,1,9,2.2,-16
0,10,11/16/14,36-085,LAL,,GSW,L (-21),1,31:22:00,15,34,0.441,3,12,0.25,11,16,0.688,1,4,5,3,0,0,2,3,44,25,-34
0,11,11/18/14,36-087,LAL,@,ATL,W (+5),1,36:57:00,10,18,0.556,3,7,0.429,5,5,1,0,4,4,3,1,0,3,4,28,19.1,11
0,12,11/19/14,36-088,LAL,@,HOU,W (+6),1,39:32:00,10,28,0.357,1,7,0.143,8,10,0.8,0,5,5,7,1,0,3,0,29,17,9
0,13,11/21/14,36-090,LAL,@,DAL,L (-34),1,31:20:00,6,22,0.273,1,4,0.25,4,4,1,2,3,5,7,1,0,2,2,17,9.4,-29
0,14,11/23/14,36-092,LAL,,DEN,L (-7),1,43:50:00,10,24,0.417,0,2,0,7,10,0.7,2,4,6,4,0,0,4,1,27,14,-5
0,15,11/26/14,36-095,LAL,,MEM,L (-6),1,35:16:00,5,15,0.333,2,5,0.4,10,10,1,2,2,4,2,0,0,4,1,22,12.5,-1
0,16,11/28/14,36-097,LAL,,MIN,L (-1),1,34:45:00,10,18,0.556,0,1,0,6,10,0.6,1,4,5,5,5,0,2,1,26,23.8,3
0,17,11/30/14,36-099,LAL,,TOR,W (+7),1,41:36:00,11,24,0.458,0,1,0,9,13,0.692,1,10,11,12,0,1,2,2,31,27,2
0,18,12/2/14,36-101,LAL,@,DET,W (+10),1,33:26:00,4,11,0.364,1,3,0.333,3,3,1,0,5,5,13,2,0,10,2,12,7.7,15
0,19,12/3/14,36-102,LAL,@,WAS,L (-16),1,34:11:00,8,22,0.364,2,6,0.333,11,14,0.786,0,4,4,3,1,0,4,4,29,14.3,-30
0,20,12/5/14,36-104,LAL,@,BOS,L (-17),1,32:42:00,9,21,0.429,1,3,0.333,3,3,1,0,3,3,3,1,0,3,1,22,11.5,-29
0,21,12/7/14,36-106,LAL,,NOP,L (-17),1,31:59:00,6,18,0.333,0,5,0,2,2,1,0,3,3,4,0,0,3,2,14,3.7,-18
0,22,12/9/14,36-108,LAL,,SAC,W (+3),1,35:50:00,11,27,0.407,2,6,0.333,8,8,1,3,0,3,6,2,0,3,2,32,22,-1
0,23,12/12/14,36-111,LAL,@,SAS,W (+2),1,40:03:00,7,22,0.318,1,4,0.25,7,8,0.875,1,4,5,9,4,0,5,1,22,15.8,-1
0,24,12/14/14,36-113,LAL,@,MIN,W (+6),1,35:09:00,7,20,0.35,2,7,0.286,10,13,0.769,1,5,6,2,1,0,2,2,26,15.4,0
0,25,12/15/14,36-114,LAL,@,IND,L (-19),1,30:17:00,8,26,0.308,2,8,0.25,3,3,1,0,4,4,3,2,0,3,4,21,6.7,-26
0,26,12/19/14,36-118,LAL,,OKC,L (-1),1,34:35:00,3,15,0.2,0,3,0,3,4,0.75,0,8,8,8,0,0,3,0,9,4.3,-6
0,27,12/21/14,36-120,LAL,@,SAC,L (-7),1,37:52:00,8,30,0.267,3,8,0.375,6,6,1,3,2,5,3,2,0,9,3,25,3.8,-17
0,28,12/28/14,36-127,LAL,,PHO,L (-9),1,32:12:00,4,10,0.4,1,3,0.333,1,1,1,0,8,8,7,2,0,5,1,10,8.5,-8
0,29,12/30/14,36-129,LAL,@,DEN,W (+8),1,31:40:00,6,11,0.545,3,5,0.6,8,11,0.727,1,10,11,11,2,1,9,1,23,21.2,12
0,30,1/2/15,36-132,LAL,,MEM,L (-3),1,33:08:00,6,14,0.429,2,4,0.5,1,1,1,1,8,9,8,0,1,2,2,15,14.2,5
0,31,1/4/15,36-134,LAL,,IND,W (+1),1,32:08:00,7,14,0.5,2,3,0.667,4,4,1,0,6,6,6,3,0,2,2,20,19.2,-2
0,32,1/7/15,36-137,LAL,@,LAC,L (-25),1,27:47:00,2,12,0.167,0,3,0,0,0,,0,8,8,7,1,0,6,1,4,-1.7,-34
0,33,1/13/15,36-143,LAL,,MIA,L (-3),1,30:54:00,3,19,0.158,2,9,0.222,4,4,1,0,6,6,7,1,0,2,0,12,5.6,-6
0,34,1/15/15,36-145,LAL,,CLE,L (-7),1,31:49:00,7,14,0.5,3,6,0.5,2,3,0.667,1,5,6,17,0,0,3,0,19,22.7,3
0,35,1/21/15,36-151,LAL,@,NOP,L (-16),1,29:52:00,6,14,0.429,1,5,0.2,1,1,1,0,7,7,2,0,1,4,2,14,6,-11
